username,channel_id,message
drsohtv,UCbifFcHncE89RrKSm3HlNAg,좋은 영상 감사합니다
cntvv,UCQZ1iBgGYGSTYhe5RnXsC1w,좋은 영상 감사합니다
Team_Youirknam,UC4wbC_nZ6xT5RLYf8U4preg,좋은 영상 감사합니다
GreenDay,UCqC_GY2ZiENFz2pwL0cSfAw,좋은 영상 감사합니다
북토크,UCCIOK_muw3wg0vWEAkBueAA,좋은 영상 감사합니다
turningpointkorea,UCXA6AK9-wpHs7BjEB2JRZEg,좋은 영상 감사합니다
인텔리전스,UCr8P1J6sVkzP9hDGkV5r8AA,좋은 영상 감사합니다
TEDxTalks,,좋은 영상 감사합니다
NationalGeographic,,좋은 영상 감사합니다
Vox,UCLXo7UDZvByw2ixzpQCufnA,좋은 영상 감사합니다
kurzgesagt,UCsXVk37bltHxD1rDPwtNM8Q,좋은 영상 감사합니다
veritasium,UCHnyfMqiRRG1u-2MsSQLbXA,좋은 영상 감사합니다
SciShow,UCZYTClx2T1of7BRZ86-8fow,좋은 영상 감사합니다
crashcourse,UCX6b17PVsYBQ0ip5gyeme-Q,좋은 영상 감사합니다
minutephysics,UCUHW94eEFW7hkUMVaZz4eDg,좋은 영상 감사합니다
AsapSCIENCE,UCC552Sd-3nyi_tk2BudLUzA,좋은 영상 감사합니다
smartereveryday,UC6107grRI4m0o2-emgoDnAA,좋은 영상 감사합니다
TheB1M,UC6n8I1UDTKP1IWjQMg6_TwA,좋은 영상 감사합니다
RealEngineering,UCR1IuLEqb6UEA_zQ81kwXfg,좋은 영상 감사합니다
MarkRober,UCY1kMZp36IQSyNx_9h4mpCg,좋은 영상 감사합니다
Steve1989MREInfo,,좋은 영상 감사합니다
PrimitiveTechnology,UCzPsEwQIN1jHfDHUPjhHIgA,좋은 영상 감사합니다
bingingwithbabish,,좋은 영상 감사합니다
bonappetit,UCbpMy0Fg74eXXkvxJrtEn3w,좋은 영상 감사합니다
JoshuaWeissman,UChBEbMKI1eCcejTtmI32UEw,좋은 영상 감사합니다
epicurious,UCcjhYlL1WRBjKaJsMH_h7Lg,좋은 영상 감사합니다
foodwishes,UCRIZtPl9nb9RiXc9btSTQNw,좋은 영상 감사합니다
buzzfeedtasty,UCJFp8uSYCjXOMnkUyb3CQ3Q,좋은 영상 감사합니다
Maangchi,UC8gFadPgK2r1ndqLI04Xvvw,좋은 영상 감사합니다
JunsKitchen,UCRxAgfYexGLlu1WHGIMUDqw,좋은 영상 감사합니다
PeacefulCuisine,UCQBG3PzyQKY8ieMG2gDAyOQ,좋은 영상 감사합니다
brothersgreeneats,,좋은 영상 감사합니다
unboxtherapy,UCsTcErHg8oDvUnTzoqsYeNw,좋은 영상 감사합니다
mkbhd,UCBJycsmduvYEL83R_U4JriQ,좋은 영상 감사합니다
LinusTechTips,UCXuqSBlHAE6Xw-yeJA0Tunw,좋은 영상 감사합니다
Dave2D,UCVYamHliCI9rw1tHR1xbkfw,좋은 영상 감사합니다
ijustine,UCey_c7U86mJGz1VJWH5CYPA,좋은 영상 감사합니다
austinnotduncan,,좋은 영상 감사합니다
TheVerge,UCddiUEpeqJcYeBxX1IVBKvQ,좋은 영상 감사합니다
engadget,UC-6OW5aJYBFM33zXQlBKPNA,좋은 영상 감사합니다
CNET,UCOmcA3f_RrH6b9NmcNa4tdg,좋은 영상 감사합니다
TechCrunch,UCCjyq_K1Xwfg8Lndy7lKMpA,좋은 영상 감사합니다
corridorcrew,UCSpFnDQr88xCZ80N-X7t0nQ,좋은 영상 감사합니다
petermckinnon,UC3DkFux8Iv-aYnTRWzwaiBA,좋은 영상 감사합니다
MangoStreet,UC5bp5_6h-ZxkBz6S_33ZUVg,좋은 영상 감사합니다
seantucker,UCpnxVX81-qPyCdJ8NY0cTRg,좋은 영상 감사합니다
yestheory,UCvK4bOhULCpmLabd2pDMtnA,좋은 영상 감사합니다
karaandnate,UC4ijq8Cg-8zQKx8OH12dUSw,좋은 영상 감사합니다
lostleblanc,UCt_NLJ4McJlCyYM-dSPRo7Q,좋은 영상 감사합니다
drewbinsky,UC0Ize0RLIbGdH5x4wI45G-A,좋은 영상 감사합니다
migrationology,,좋은 영상 감사합니다
strictlydumpling,UCXOKEdfOFxsHO_-Su3K8SHg,좋은 영상 감사합니다
thefoodranger,UCiAq_SU0ED1C6vWFMnw8Ekg,좋은 영상 감사합니다
mikeychen,UCbqZsserFV_YjPk0subGEmA,좋은 영상 감사합니다
emmymade,UCzqbfYjQmf9nLQPMxVgPhiA,좋은 영상 감사합니다
gugafoods,UCfE5Cz44GlZVyoaYTHJbuZw,좋은 영상 감사합니다
sortedfood,UCfyehHM_eo4g5JUyWmms2LA,좋은 영상 감사합니다
aragusea,UC9_p50tH3WmMslWRWKnM7dQ,좋은 영상 감사합니다
MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,좋은 영상 감사합니다
PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,좋은 영상 감사합니다
T-Series,,좋은 영상 감사합니다
Cocomelon,UCbCmjCuTUZos6Inko4u57UQ,좋은 영상 감사합니다
SET_India,,좋은 영상 감사합니다
5MinuteCrafts,,좋은 영상 감사합니다
SBS Official,,좋은 영상 감사합니다
byung joo lee,,좋은 영상 감사합니다
자영업자,UCtrX6lbxzy1ETdE3kOEHLvQ,좋은 영상 감사합니다
YouTube_Official_Test,UCJspRQphRsvBe6oT64guJ2w,테스트 메시지입니다
YouTube Help,,좋은 영상 감사합니다
Google,UCK8sQmJBp8GCxrOtXWBpyEA,좋은 영상 감사합니다
Apple,UCE_M8A5yxnLfW0KghEeajjw,좋은 영상 감사합니다
Microsoft,UCFtEEv80fQVKkD4h1PF-Xqw,좋은 영상 감사합니다
Microsoft,UCFtEEv80fQVKkD4h1PF-Xqw,좋은 영상 감사합니다
Microsoft,UCFtEEv80fQVKkD4h1PF-Xqw,좋은 영상 감사합니다
Microsoft,UCFtEEv80fQVKkD4h1PF-Xqw,좋은 영상 감사합니다
Microsoft,UCFtEEv80fQVKkD4h1PF-Xqw,좋은 영상 감사합니다
YouTube Help,,좋은 영상 감사합니다
